alert_id,timestamp,priority,status,category,driver_id,driver_name,driver_initials,driver_company,alert_type,zone,sla_met,sla_target_hours,resolution_hours,assigned_team,operator_id,operator_name,operator_initials,operator_role
ALT004379,2026-05-24T21:03:28,medium,in_progress,School Bus,DRV11745,Marwan Al Maktoum,MM,Emirates Transport,Excessive Idling,Al Quoz,yes,12,7.0,Traffic Operations A,OP002,Khalid Al Suwaidi,KA,Operator
ALT004018,2026-05-24T21:03:08,medium,new,Public Bus,DRV11112,Adel Al Awadhi,AA,RTA Public Buses,Excessive Idling,Jumeirah,yes,12,2.2,Traffic Operations A,OP002,Khalid Al Suwaidi,KA,Operator
ALT008230,2026-05-24T21:02:01,low,fined,Taxi,DRV11040,Mahmoud Al Naqbi,MN,Citi Taxi,Route Deviation,Al Quoz,yes,24,12.1,Public Transit Unit,OP013,Tariq Al Hashimi,TH,Shift Supervisor
ALT007936,2026-05-24T21:01:57,low,closed,Hourly Rental,DRV10769,Salim Al Tayer,ST,Careem,Unsafe Distance,JBR,no,24,33.6,Smart Enforcement,OP020,Ayman Al Maktoum,AM,Junior Operator
ALT004536,2026-05-24T21:01:56,low,in_progress,Taxi,DRV11821,Rashid Al Suwaidi,RS,Metro Taxi,Failure to Yield,Al Quoz,yes,24,0.6,Traffic Operations A,OP001,Ahmed Salem,AS,Senior Operator
ALT008069,2026-05-24T21:01:53,high,new,Taxi,DRV11126,Sultan Al Marri,SM,Metro Taxi,Unauthorized Pickup,Business Bay,yes,4,0.0,Field Response Team,OP022,Mahmoud Al Marri,MA,Operator
ALT004226,2026-05-24T21:01:38,medium,new,Taxi,DRV12402,Ayman Al Zaabi,AZ,Metro Taxi,Mobile Phone Usage,Downtown Dubai,yes,12,3.7,Field Response Team,OP021,Walid Al Suwaidi,WS,Senior Operator
ALT004362,2026-05-24T21:01:38,high,closed,Taxi,DRV11539,Nasser Al Tayer,NT,Citi Taxi,Mobile Phone Usage,Jumeirah,yes,4,2.3,Traffic Operations B,OP005,John Doe,JD,Shift Supervisor
ALT004300,2026-05-24T21:00:46,low,escalated,Taxi,DRV12098,Hassan Al Hashimi,HH,Cars Taxi,Tampered Meter,Al Barsha,no,24,82.5,Smart Enforcement,OP019,Marwan Al Mansouri,MM,Operator
ALT002903,2026-05-24T21:00:31,medium,closed,Hourly Rental,DRV12441,Ayman Al Awadhi,AA,Careem,Lane Discipline,Downtown Dubai,no,12,32.9,Traffic Operations A,OP004,Mariam Khan,MK,Junior Operator
ALT008220,2026-05-24T21:00:15,low,new,Marine,DRV10291,Bilal Al Falasi,BF,Dubai Marine Transport,Reckless Lane Change,Deira,yes,24,0.2,Public Transit Unit,OP015,Ibrahim Al Naqbi,IN,Operator
ALT002312,2026-05-24T21:00:04,low,fined,Hourly Rental,DRV11922,Saeed Al Naqbi,SN,Careem,Tampered Meter,Downtown Dubai,yes,24,20.0,Marine Patrol,OP009,Saeed Al Nuaimi,SN,Senior Operator
ALT008343,2026-05-24T20:59:56,medium,closed,Taxi,DRV10436,Yousef Al Tayer,YT,Citi Taxi,Unauthorized Stop,Al Barsha,no,12,17.1,Public Transit Unit,OP014,Yousef Al Mazrouei,YM,Operator
ALT007292,2026-05-24T20:59:20,low,closed,Public Bus,DRV12166,Ahmed Al Owais,AO,RTA Public Buses,Reckless Lane Change,JBR,no,24,110.7,Public Transit Unit,OP016,Mansour Al Zaabi,MZ,Junior Operator
ALT005767,2026-05-24T20:58:36,medium,closed,Public Bus,DRV12043,Ibrahim Al Mazrouei,IM,Emirates Transport,Red Light Violation,Dubai Investment Park,no,12,14.3,Marine Patrol,OP009,Saeed Al Nuaimi,SN,Senior Operator
ALT006503,2026-05-24T20:57:29,medium,escalated,Taxi,DRV10865,Bilal Al Mansouri,BM,Metro Taxi,Red Light Violation,Dubai Investment Park,no,12,52.9,Field Response Team,OP023,Ziad Al Falasi,ZF,Operator
ALT002364,2026-05-24T20:57:22,low,closed,Taxi,DRV12327,Hamad Al Owais,HO,Metro Taxi,Excessive Idling,Business Bay,no,24,69.3,Smart Enforcement,OP018,Adel Al Hammadi,AH,Operator
ALT001133,2026-05-24T20:57:11,low,in_progress,Taxi,DRV10785,Karim Al Mansouri,KM,Arabia Taxi,Speeding (>20 km/h over),JBR,yes,24,7.2,Field Response Team,OP022,Mahmoud Al Marri,MA,Operator
ALT004933,2026-05-24T20:56:26,low,closed,Public Bus,DRV10696,Hamad Al Mazrouei,HM,Emirates Transport,Tampered Meter,Al Rashidiya,no,24,46.3,Field Response Team,OP021,Walid Al Suwaidi,WS,Senior Operator
ALT000295,2026-05-24T20:56:05,low,closed,Marine,DRV11760,Sultan Al Tayer,ST,Dubai Marine Transport,Failure to Yield,Jebel Ali,no,24,47.2,Traffic Operations B,OP006,Laila Mansour,LM,Operator
ALT007206,2026-05-24T20:55:52,medium,in_progress,Taxi,DRV11208,Adel Al Hashimi,AH,Arabia Taxi,Unauthorized Pickup,Business Bay,yes,12,2.1,Marine Patrol,OP011,Sultan Al Awadhi,SA,Operator
ALT006966,2026-05-24T20:54:32,low,closed,Taxi,DRV10176,Ibrahim Al Qassimi,IQ,Citi Taxi,Tampered Meter,JBR,yes,24,12.1,Field Response Team,OP022,Mahmoud Al Marri,MA,Operator
ALT004217,2026-05-24T20:54:04,low,closed,School Bus,DRV11386,Rashid Al Suwaidi,RS,Emirates Transport,Unsafe Distance,Dubai Marina,no,24,33.5,Smart Enforcement,OP019,Marwan Al Mansouri,MM,Operator
ALT001171,2026-05-24T20:53:26,low,new,Limousine & E-Hail,DRV10055,Ahmed Al Awadhi,AA,Genie Limousine,Unsafe Distance,Dubai Marina,yes,24,1.6,Public Transit Unit,OP013,Tariq Al Hashimi,TH,Shift Supervisor
ALT000604,2026-05-24T20:53:18,low,new,Limousine & E-Hail,DRV10111,Yousef Al Awadhi,YA,Yango Premium,Unsafe Distance,Silicon Oasis,yes,24,0.7,Traffic Operations A,OP001,Ahmed Salem,AS,Senior Operator
ALT001936,2026-05-24T20:52:42,low,escalated,Limousine & E-Hail,DRV10705,Marwan Al Awadhi,MA,Yango Premium,Reckless Lane Change,Dubai Marina,no,24,65.1,Smart Enforcement,OP018,Adel Al Hammadi,AH,Operator
ALT006182,2026-05-24T20:52:06,low,new,Taxi,DRV10735,Walid Al Suwaidi,WS,Metro Taxi,Reckless Lane Change,Jebel Ali,yes,24,3.7,Traffic Operations B,OP005,John Doe,JD,Shift Supervisor
ALT001655,2026-05-24T20:51:29,low,escalated,Taxi,DRV11468,Mansour Al Owais,MO,Citi Taxi,Unauthorized Pickup,Deira,no,24,93.0,Field Response Team,OP024,Karim Al Tayer,KT,Junior Operator
ALT000722,2026-05-24T20:50:36,medium,escalated,Taxi,DRV10732,Yousef Al Tayer,YT,National Taxi,Mobile Phone Usage,Al Rashidiya,no,12,77.1,Traffic Operations A,OP001,Ahmed Salem,AS,Senior Operator
ALT000418,2026-05-24T20:50:33,low,new,Marine,DRV11397,Ibrahim Al Qassimi,IQ,Dubai Marine Transport,Failure to Yield,Business Bay,yes,24,1.3,Public Transit Unit,OP015,Ibrahim Al Naqbi,IN,Operator
ALT003038,2026-05-24T20:50:24,medium,closed,Public Bus,DRV10470,Marwan Al Mansouri,MM,RTA Public Buses,Unauthorized Pickup,Dubai Marina,yes,12,10.9,Traffic Operations B,OP005,John Doe,JD,Shift Supervisor
ALT004053,2026-05-24T20:50:12,high,closed,Limousine & E-Hail,DRV10030,Mohammed Al Falasi,MF,Yango Premium,Unauthorized Pickup,Al Rashidiya,no,4,6.8,Marine Patrol,OP010,Rashid Al Shamsi,RS,Operator
ALT006760,2026-05-24T20:49:09,medium,new,Hourly Rental,DRV11346,Omar Al Mazrouei,OM,Careem,Failure to Yield,Downtown Dubai,yes,12,1.9,Field Response Team,OP022,Mahmoud Al Marri,MA,Operator
ALT002995,2026-05-24T20:48:57,low,closed,Limousine & E-Hail,DRV12291,Faisal Al Hammadi,FH,Yango Premium,Failure to Yield,Al Barsha,no,24,61.8,Traffic Operations A,OP003,Omar Al Falasi,OF,Operator
ALT005839,2026-05-24T20:48:57,medium,new,Taxi,DRV10252,Mohammed Al Maktoum,MM,Dubai Taxi Corporation,Mobile Phone Usage,Jumeirah,yes,12,1.9,Smart Enforcement,OP019,Marwan Al Mansouri,MM,Operator
ALT003428,2026-05-24T20:48:24,low,new,Taxi,DRV12385,Walid Al Qassimi,WQ,Citi Taxi,Red Light Violation,Deira,yes,24,3.8,Smart Enforcement,OP020,Ayman Al Maktoum,AM,Junior Operator
ALT006987,2026-05-24T20:47:15,low,closed,Taxi,DRV10509,Marwan Al Zaabi,MZ,Metro Taxi,Route Deviation,Dubai Sports City,yes,24,15.2,Traffic Operations B,OP006,Laila Mansour,LM,Operator
ALT005173,2026-05-24T20:46:03,low,fined,Taxi,DRV10870,Hassan Al Awadhi,HA,Metro Taxi,Failure to Yield,Dubai Investment Park,yes,24,11.8,Traffic Operations A,OP004,Mariam Khan,MK,Junior Operator
ALT003687,2026-05-24T20:45:52,low,in_progress,School Bus,DRV12084,Bilal Al Mansouri,BM,Emirates Transport,Unauthorized Stop,Jebel Ali,yes,24,11.4,Smart Enforcement,OP019,Marwan Al Mansouri,MM,Operator
ALT001120,2026-05-24T20:45:19,low,closed,Taxi,DRV10485,Marwan Al Naqbi,MN,Cars Taxi,Excessive Idling,Al Barsha,no,24,59.8,Traffic Operations B,OP006,Laila Mansour,LM,Operator
ALT002138,2026-05-24T20:43:59,medium,escalated,Public Bus,DRV11649,Hassan Al Marri,HM,Emirates Transport,Route Deviation,Dubai Sports City,no,12,67.2,Public Transit Unit,OP013,Tariq Al Hashimi,TH,Shift Supervisor
ALT006349,2026-05-24T20:43:44,low,closed,Taxi,DRV10922,Marwan Al Awadhi,MA,National Taxi,Excessive Idling,Al Barsha,yes,24,8.5,Public Transit Unit,OP013,Tariq Al Hashimi,TH,Shift Supervisor
ALT007637,2026-05-24T20:42:41,high,new,Hourly Rental,DRV11486,Faisal Al Owais,FO,Hala Rides,Red Light Violation,Deira,yes,4,0.8,Smart Enforcement,OP019,Marwan Al Mansouri,MM,Operator
ALT007389,2026-05-24T20:41:46,low,closed,Taxi,DRV10176,Ibrahim Al Qassimi,IQ,Citi Taxi,Unauthorized Pickup,JBR,no,24,42.2,Smart Enforcement,OP017,Hamad Al Qassimi,HQ,Senior Operator
ALT000585,2026-05-24T20:41:44,medium,closed,Taxi,DRV12268,Tariq Al Hammadi,TH,Metro Taxi,Unauthorized Stop,Al Barsha,no,12,17.9,Traffic Operations A,OP003,Omar Al Falasi,OF,Operator
ALT001682,2026-05-24T20:41:40,medium,escalated,Taxi,DRV12036,Hassan Al Mansouri,HM,Metro Taxi,Red Light Violation,Al Barsha,no,12,44.7,Traffic Operations B,OP006,Laila Mansour,LM,Operator
ALT003567,2026-05-24T20:41:32,medium,in_progress,Limousine & E-Hail,DRV11986,Yousef Al Hammadi,YH,Hala Rides,Unauthorized Stop,Deira,yes,12,4.3,Public Transit Unit,OP013,Tariq Al Hashimi,TH,Shift Supervisor
ALT005469,2026-05-24T20:41:31,medium,closed,Hourly Rental,DRV12451,Hassan Al Awadhi,HA,Al Naboodah Transport,Red Light Violation,Al Barsha,no,12,16.0,Public Transit Unit,OP015,Ibrahim Al Naqbi,IN,Operator
ALT003492,2026-05-24T20:41:02,low,new,Taxi,DRV10882,Salim Al Awadhi,SA,Arabia Taxi,Unauthorized Pickup,Silicon Oasis,yes,24,3.1,Public Transit Unit,OP014,Yousef Al Mazrouei,YM,Operator
ALT006234,2026-05-24T20:40:15,medium,fined,Public Bus,DRV10279,Mohammed Al Shamsi,MS,Emirates Transport,Unauthorized Stop,Downtown Dubai,no,12,35.7,Smart Enforcement,OP019,Marwan Al Mansouri,MM,Operator
ALT002187,2026-05-24T20:39:12,low,closed,Taxi,DRV12459,Hamad Al Tayer,HT,Citi Taxi,Unauthorized Pickup,Deira,yes,24,3.0,Marine Patrol,OP009,Saeed Al Nuaimi,SN,Senior Operator
ALT005167,2026-05-24T20:38:36,medium,closed,Limousine & E-Hail,DRV11197,Ahmed Al Mazrouei,AM,Hala Rides,Tampered Meter,Al Quoz,no,12,13.0,Traffic Operations B,OP006,Laila Mansour,LM,Operator
ALT008457,2026-05-24T20:38:12,low,closed,Taxi,DRV12331,Salim Al Nuaimi,SN,Dubai Taxi Corporation,Tampered Meter,Business Bay,yes,24,21.3,Traffic Operations B,OP007,Hassan Al Tayer,HT,Operator
ALT000566,2026-05-24T20:37:10,medium,in_progress,Taxi,DRV11167,Rashid Al Awadhi,RA,Dubai Taxi Corporation,Mobile Phone Usage,Silicon Oasis,yes,12,1.4,Smart Enforcement,OP018,Adel Al Hammadi,AH,Operator
ALT000067,2026-05-24T20:36:52,medium,new,Hourly Rental,DRV11732,Ibrahim Al Zaabi,IZ,Hala Rides,Red Light Violation,Downtown Dubai,yes,12,1.2,Marine Patrol,OP010,Rashid Al Shamsi,RS,Operator
ALT003294,2026-05-24T20:36:08,low,closed,School Bus,DRV11608,Ayman Al Hammadi,AH,Emirates Transport,Tampered Meter,Dubai Marina,no,24,36.5,Marine Patrol,OP009,Saeed Al Nuaimi,SN,Senior Operator
ALT004731,2026-05-24T20:33:56,high,in_progress,Limousine & E-Hail,DRV11743,Salim Al Hammadi,SH,Genie Limousine,Red Light Violation,Jumeirah,no,4,9.4,Public Transit Unit,OP015,Ibrahim Al Naqbi,IN,Operator
ALT000892,2026-05-24T20:33:27,medium,new,Limousine & E-Hail,DRV10622,Ahmed Al Zaabi,AZ,Genie Limousine,Red Light Violation,Al Qusais,yes,12,1.9,Marine Patrol,OP009,Saeed Al Nuaimi,SN,Senior Operator
ALT007051,2026-05-24T20:32:36,low,in_progress,Taxi,DRV11802,Omar Al Owais,OO,Dubai Taxi Corporation,Unsafe Distance,Jumeirah,yes,24,3.2,Marine Patrol,OP012,Bilal Al Owais,BO,Junior Operator
ALT008290,2026-05-24T20:32:27,low,new,Marine,DRV11612,Ahmed Al Shamsi,AS,Dubai Marine Transport,Reckless Lane Change,Al Barsha,yes,24,1.5,Traffic Operations A,OP004,Mariam Khan,MK,Junior Operator
ALT006549,2026-05-24T20:32:26,medium,closed,Taxi,DRV12479,Saeed Al Qassimi,SQ,Dubai Taxi Corporation,Excessive Idling,Dubai Investment Park,no,12,15.2,Traffic Operations B,OP007,Hassan Al Tayer,HT,Operator
ALT003002,2026-05-24T20:30:34,medium,closed,Taxi,DRV10023,Ibrahim Al Hammadi,IH,Cars Taxi,Route Deviation,Al Qusais,yes,12,3.2,Field Response Team,OP023,Ziad Al Falasi,ZF,Operator
ALT007581,2026-05-24T20:30:21,medium,closed,Taxi,DRV10467,Walid Al Qassimi,WQ,Citi Taxi,Unsafe Distance,Downtown Dubai,no,12,20.1,Field Response Team,OP022,Mahmoud Al Marri,MA,Operator
ALT001109,2026-05-24T20:30:19,high,new,Limousine & E-Hail,DRV12097,Mohammed Al Falasi,MF,Yango Premium,Unauthorized Stop,Dubai Sports City,yes,4,2.7,Traffic Operations B,OP008,Faisal Al Marri,FM,Junior Operator
ALT007083,2026-05-24T20:30:04,low,closed,Limousine & E-Hail,DRV10431,Mansour Al Awadhi,MA,Hala Rides,Lane Discipline,Business Bay,yes,24,20.0,Marine Patrol,OP010,Rashid Al Shamsi,RS,Operator
ALT001786,2026-05-24T20:29:06,medium,closed,Public Bus,DRV10367,Marwan Al Awadhi,MA,RTA Public Buses,Tampered Meter,Al Barsha,no,12,23.0,Traffic Operations A,OP003,Omar Al Falasi,OF,Operator
ALT005013,2026-05-24T20:28:57,low,in_progress,Taxi,DRV12183,Mansour Al Marri,MM,Citi Taxi,Lane Discipline,Business Bay,yes,24,11.7,Field Response Team,OP022,Mahmoud Al Marri,MA,Operator
ALT000110,2026-05-24T20:28:45,medium,closed,Taxi,DRV12174,Omar Al Naqbi,ON,Citi Taxi,Red Light Violation,Dubai Investment Park,yes,12,5.3,Marine Patrol,OP010,Rashid Al Shamsi,RS,Operator
ALT000275,2026-05-24T20:28:05,high,new,School Bus,DRV10918,Saeed Al Falasi,SF,School Transport Services,Reckless Lane Change,Dubai Sports City,yes,4,3.8,Smart Enforcement,OP019,Marwan Al Mansouri,MM,Operator
ALT000089,2026-05-24T20:27:21,low,in_progress,School Bus,DRV10094,Hassan Al Mazrouei,HM,School Transport Services,Route Deviation,Business Bay,yes,24,0.5,Traffic Operations A,OP004,Mariam Khan,MK,Junior Operator
ALT005855,2026-05-24T20:27:18,low,new,Public Bus,DRV12216,Karim Al Marri,KM,Emirates Transport,Lane Discipline,Al Barsha,yes,24,0.2,Traffic Operations A,OP001,Ahmed Salem,AS,Senior Operator
ALT007788,2026-05-24T20:27:08,low,escalated,Taxi,DRV11775,Sultan Al Marri,SM,Citi Taxi,Lane Discipline,Business Bay,yes,24,13.4,Field Response Team,OP023,Ziad Al Falasi,ZF,Operator
ALT007762,2026-05-24T20:26:55,medium,escalated,Taxi,DRV11472,Mohammed Al Falasi,MF,Metro Taxi,Excessive Idling,Silicon Oasis,no,12,43.3,Traffic Operations B,OP005,John Doe,JD,Shift Supervisor
ALT008026,2026-05-24T20:24:55,low,new,Public Bus,DRV11903,Hassan Al Shamsi,HS,Emirates Transport,Red Light Violation,Al Qusais,yes,24,0.8,Smart Enforcement,OP017,Hamad Al Qassimi,HQ,Senior Operator
ALT001364,2026-05-24T20:24:32,medium,fined,Taxi,DRV11308,Rashid Al Naqbi,RN,Cars Taxi,Failure to Yield,Business Bay,no,12,14.4,Traffic Operations B,OP005,John Doe,JD,Shift Supervisor
ALT001422,2026-05-24T20:23:57,medium,closed,Hourly Rental,DRV10327,Bilal Al Falasi,BF,Careem,Route Deviation,Downtown Dubai,no,12,14.8,Marine Patrol,OP009,Saeed Al Nuaimi,SN,Senior Operator
ALT006370,2026-05-24T20:23:25,medium,new,Marine,DRV10369,Hamad Al Suwaidi,HS,Dubai Marine Transport,Failure to Yield,Downtown Dubai,yes,12,1.4,Traffic Operations B,OP005,John Doe,JD,Shift Supervisor
ALT008129,2026-05-24T20:22:56,medium,closed,Hourly Rental,DRV11736,Karim Al Suwaidi,KS,Careem,Unauthorized Pickup,Silicon Oasis,yes,12,9.1,Traffic Operations B,OP005,John Doe,JD,Shift Supervisor
ALT003579,2026-05-24T20:22:40,low,closed,Taxi,DRV10191,Sultan Al Zaabi,SZ,Dubai Taxi Corporation,Speeding (>20 km/h over),Al Rashidiya,yes,24,15.3,Public Transit Unit,OP014,Yousef Al Mazrouei,YM,Operator
ALT001772,2026-05-24T20:22:19,low,closed,Limousine & E-Hail,DRV11689,Khalid Al Hashimi,KH,Hala Rides,Red Light Violation,Jumeirah,no,24,106.8,Field Response Team,OP024,Karim Al Tayer,KT,Junior Operator
ALT002592,2026-05-24T20:20:28,medium,closed,Public Bus,DRV12175,Ziad Al Hashimi,ZH,Emirates Transport,Unauthorized Stop,Dubai Investment Park,yes,12,2.6,Traffic Operations A,OP003,Omar Al Falasi,OF,Operator
ALT004510,2026-05-24T20:20:04,medium,closed,Public Bus,DRV11265,Khalid Al Zaabi,KZ,RTA Public Buses,Lane Discipline,Dubai Investment Park,yes,12,7.9,Marine Patrol,OP011,Sultan Al Awadhi,SA,Operator
ALT001934,2026-05-24T20:19:32,low,closed,Hourly Rental,DRV12337,Mansour Al Naqbi,MN,Hala Rides,Red Light Violation,JBR,no,24,28.6,Public Transit Unit,OP014,Yousef Al Mazrouei,YM,Operator
ALT001958,2026-05-24T20:19:20,medium,escalated,Public Bus,DRV10534,Mohammed Al Mazrouei,MM,Emirates Transport,Speeding (>20 km/h over),Deira,no,12,92.5,Traffic Operations B,OP007,Hassan Al Tayer,HT,Operator
ALT001055,2026-05-24T20:19:18,medium,in_progress,Taxi,DRV12435,Omar Al Suwaidi,OS,Arabia Taxi,Unauthorized Pickup,Dubai Marina,yes,12,6.9,Field Response Team,OP021,Walid Al Suwaidi,WS,Senior Operator
ALT000260,2026-05-24T20:18:37,medium,closed,Marine,DRV10457,Rashid Al Falasi,RF,Dubai Marine Transport,Lane Discipline,Mirdif,yes,12,2.9,Traffic Operations B,OP005,John Doe,JD,Shift Supervisor
ALT003441,2026-05-24T20:16:45,low,closed,Taxi,DRV10199,Faisal Al Nuaimi,FN,Dubai Taxi Corporation,Unauthorized Pickup,Business Bay,no,24,28.5,Field Response Team,OP022,Mahmoud Al Marri,MA,Operator
ALT006246,2026-05-24T20:16:43,low,closed,School Bus,DRV11481,Ziad Al Zaabi,ZZ,School Transport Services,Failure to Yield,Dubai Marina,no,24,55.1,Traffic Operations B,OP007,Hassan Al Tayer,HT,Operator
ALT001813,2026-05-24T20:16:07,low,closed,School Bus,DRV10919,Tariq Al Marri,TM,Emirates Transport,Unsafe Distance,Dubai Marina,no,24,61.7,Public Transit Unit,OP014,Yousef Al Mazrouei,YM,Operator
ALT008410,2026-05-24T20:16:07,low,closed,School Bus,DRV10406,Ahmed Al Tayer,AT,Emirates Transport,Reckless Lane Change,Downtown Dubai,yes,24,11.3,Traffic Operations B,OP007,Hassan Al Tayer,HT,Operator
ALT001674,2026-05-24T20:15:42,low,new,Marine,DRV11340,Tariq Al Mansouri,TM,Dubai Marine Transport,Excessive Idling,Business Bay,yes,24,1.1,Traffic Operations B,OP005,John Doe,JD,Shift Supervisor
ALT001916,2026-05-24T20:14:13,low,closed,Public Bus,DRV10848,Walid Al Marri,WM,Emirates Transport,Speeding (>20 km/h over),Deira,no,24,36.3,Public Transit Unit,OP014,Yousef Al Mazrouei,YM,Operator
ALT004680,2026-05-24T20:13:48,high,new,Taxi,DRV11770,Bilal Al Mazrouei,BM,National Taxi,Reckless Lane Change,Jebel Ali,yes,4,3.4,Public Transit Unit,OP015,Ibrahim Al Naqbi,IN,Operator
ALT001173,2026-05-24T20:13:16,low,closed,Limousine & E-Hail,DRV10948,Tariq Al Awadhi,TA,Genie Limousine,Reckless Lane Change,Mirdif,no,24,39.1,Traffic Operations B,OP005,John Doe,JD,Shift Supervisor
ALT005751,2026-05-24T20:13:11,low,closed,Taxi,DRV10285,Tariq Al Zaabi,TZ,Cars Taxi,Speeding (>20 km/h over),Dubai Investment Park,no,24,49.6,Traffic Operations B,OP005,John Doe,JD,Shift Supervisor
ALT004693,2026-05-24T20:11:16,low,closed,Limousine & E-Hail,DRV11595,Omar Al Shamsi,OS,Hala Rides,Unauthorized Pickup,Dubai Sports City,no,24,40.7,Marine Patrol,OP011,Sultan Al Awadhi,SA,Operator
ALT008112,2026-05-24T20:10:20,low,new,Taxi,DRV12385,Walid Al Qassimi,WQ,Citi Taxi,Failure to Yield,Dubai Investment Park,yes,24,1.0,Public Transit Unit,OP013,Tariq Al Hashimi,TH,Shift Supervisor
ALT007714,2026-05-24T20:09:02,low,closed,Taxi,DRV11908,Yousef Al Mansouri,YM,Cars Taxi,Tampered Meter,Al Quoz,yes,24,11.2,Marine Patrol,OP010,Rashid Al Shamsi,RS,Operator
