alert_id,timestamp,alert_type,alert_label,severity,state,source,category,driver_name,driver_initials,driver_company,vehicle_plate,zone,location,speed_kmh,ai_recommendation,duplicated
TRG001989,2026-05-24T21:52:04,fatigue,Driver Fatigue,medium,investigation,MNVR,Limousine & E-Hail,Hugo Peterson,HP,Genie Limousine,DXB-R-18063,Deira,Al Rigga Road,,Override dispatch — pull from rotation,no
TRG002165,2026-05-24T21:52:00,distraction,Driver Distraction,medium,open,MNVR,Public Bus,Matteo Dixon,MD,RTA Public Buses,DXB-B-4027,Al Barsha,Al Barsha Road,,Schedule supervisor review,no
TRG000012,2026-05-24T21:51:40,signal,No Signal,medium,open,DS/Teams,Taxi,Mateus Grant,MG,Citi Taxi,DXB-L-31894,Al Barsha,Al Barsha Road,,Dispatch tech if persistent >15min,no
TRG001216,2026-05-24T21:51:08,signal,No Signal,low,investigation,MNVR,Hourly Rental,Kwame Boyd,KB,Hala Rides,DXB-A-27893,Downtown Dubai,Burj Khalifa Blvd,,Auto-resolve when signal restored,yes
TRG001739,2026-05-24T21:50:54,harsh,Harsh Driving,high,open,MNVR,Public Bus,Henry Hart,HH,RTA Public Buses,DXB-B-1041,JBR,The Walk,94,Log for end-of-shift review,no
TRG002503,2026-05-24T21:50:27,harsh,Harsh Driving,medium,stafteesh,ETMP,Marine,Rohan Young,RY,Dubai Marine Transport,MAR-811,Dubai Marina,Sheikh Zayed Rd Junction,76,Send to Stafteesh for fine assessment,no
TRG000695,2026-05-24T21:50:07,harsh,Harsh Driving,high,closed,DS/Teams,Taxi,Ming Warren,MW,Arabia Taxi,DXB-E-42309,Al Barsha,Sheikh Zayed Road,118,Send to Stafteesh for fine assessment,no
TRG001025,2026-05-24T21:49:12,idling,Idling,low,closed,MNVR,Hourly Rental,Andre Perry,AP,Careem,DXB-J-50062,JBR,Jumeirah Beach Residence,,Flag for daily review,no
TRG001713,2026-05-24T21:49:09,signal,No Signal,high,closed,MNVR,Public Bus,Hiroshi Jordan,HJ,Emirates Transport,DXB-B-5943,Jumeirah,Umm Suqeim Road,,Acknowledge — temporary blackout zone,no
TRG002316,2026-05-24T21:49:03,fatigue,Driver Fatigue,low,open,MNVR,School Bus,Paul Powell,PP,Emirates Transport,DXB-S-8387,Dubai Marina,Al Marsa Street,,Instruct driver to take mandatory break,no
TRG000281,2026-05-24T21:47:08,fatigue,Driver Fatigue,high,acknowledged,DS/Teams,Taxi,Rohan Young,RY,Arabia Taxi,DXB-O-17957,Downtown Dubai,Mohammed Bin Rashid Blvd,,Instruct driver to take mandatory break,no
TRG000637,2026-05-24T21:45:42,distraction,Driver Distraction,high,closed,MNVR,Taxi,Henri Chavez,HC,Citi Taxi,DXB-D-57875,Dubai Sports City,Els Club Rd,,Issue formal warning — 2nd offense,no
TRG002470,2026-05-24T21:44:27,signal,No Signal,medium,acknowledged,DS/Teams,Hourly Rental,Luca Palmer,LP,Careem,DXB-H-25635,Al Qusais,Beirut Street,,Acknowledge — temporary blackout zone,no
TRG000455,2026-05-24T21:43:52,distraction,Driver Distraction,medium,open,MNVR,Limousine & E-Hail,Niko Simpson,NS,Yango Premium,DXB-I-68544,Jebel Ali,Ibn Battuta Road,,Schedule supervisor review,no
TRG000109,2026-05-24T21:43:38,camera,Camera Disconnection,high,investigation,ETMP,Public Bus,Mateo Barnes,MB,Emirates Transport,DXB-B-8314,Al Barsha,Sheikh Zayed Road,,Dispatch field tech — recurring issue,yes
TRG000084,2026-05-24T21:43:30,harsh,Harsh Driving,medium,stafteesh,ETMP,Limousine & E-Hail,Emil Bennett,EB,Careem,DXB-J-51830,Deira,Al Maktoum Road,70,Send to Stafteesh for fine assessment,no
TRG002435,2026-05-24T21:43:17,harsh,Harsh Driving,low,closed,DS/Teams,Public Bus,Tomas Ramirez,TR,Emirates Transport,DXB-B-6005,JBR,Jumeirah Beach Residence,51,Escalate to safety review board,no
TRG001826,2026-05-24T21:42:53,distraction,Driver Distraction,low,open,DS/Teams,Public Bus,Paul Hart,PH,Emirates Transport,DXB-B-9783,Jumeirah,Umm Suqeim Road,,Issue formal warning — 2nd offense,no
TRG002551,2026-05-24T21:42:34,signal,No Signal,medium,open,DS/Teams,School Bus,William Stewart,WS,Emirates Transport,DXB-S-4714,Dubai Marina,Sheikh Zayed Rd Junction,,Dispatch tech if persistent >15min,no
TRG001463,2026-05-24T21:41:31,fatigue,Driver Fatigue,medium,investigation,DS/Teams,Taxi,Pablo Evans,PE,Metro Taxi,DXB-Q-60587,JBR,The Beach Promenade,,Confirm with supervisor & monitor,no
TRG001219,2026-05-24T21:38:36,signal,No Signal,medium,closed,DS/Teams,Public Bus,Felix Boyd,FB,Emirates Transport,DXB-B-5882,Jebel Ali,Sheikh Zayed Road,,Dispatch tech if persistent >15min,no
TRG001984,2026-05-24T21:38:15,fatigue,Driver Fatigue,medium,open,DS/Teams,Taxi,Rohan Wilson,RW,Cars Taxi,DXB-P-67138,Deira,Al Maktoum Road,,Override dispatch — pull from rotation,no
TRG002623,2026-05-24T21:37:55,signal,No Signal,high,acknowledged,MNVR,Marine,Tunde King,TK,Dubai Marine Transport,MAR-313,Mirdif,Algeria Street,,Dispatch tech if persistent >15min,no
TRG000153,2026-05-24T21:36:38,signal,No Signal,low,acknowledged,ETMP,Hourly Rental,Peter Nelson,PN,Al Naboodah Transport,DXB-M-98461,Deira,Al Rigga Road,,Acknowledge — temporary blackout zone,no
TRG000259,2026-05-24T21:36:26,distraction,Driver Distraction,high,closed,ETMP,Public Bus,Lucas Willis,LW,Emirates Transport,DXB-B-8962,Downtown Dubai,Sheikh Mohammed Bin Rashid Blvd,,Send live coaching prompt to driver,no
TRG001413,2026-05-24T21:36:18,harsh,Harsh Driving,medium,closed,MNVR,Public Bus,Chidi Barnes,CB,RTA Public Buses,DXB-B-4180,Silicon Oasis,Sheikh Mohammed Bin Zayed Rd,66,Issue coaching alert to driver,no
TRG000379,2026-05-24T21:35:27,camera,Camera Disconnection,high,closed,DS/Teams,Taxi,Peter Peterson,PP,Arabia Taxi,DXB-G-30964,Al Barsha,Al Barsha Road,,Escalate to fleet maintenance,no
TRG001662,2026-05-24T21:34:31,camera,Camera Disconnection,medium,investigation,ETMP,Limousine & E-Hail,Lars Diaz,LD,Careem,DXB-R-17608,Downtown Dubai,Sheikh Mohammed Bin Rashid Blvd,,Verify cable connection at next stop,no
TRG000877,2026-05-24T21:34:18,distraction,Driver Distraction,low,closed,MNVR,Taxi,Henri Chavez,HC,Metro Taxi,DXB-M-82761,Al Quoz,Al Khail Road,,Send live coaching prompt to driver,no
TRG002279,2026-05-24T21:33:57,idling,Idling,low,investigation,DS/Teams,School Bus,Gabriel Clark,GC,Emirates Transport,DXB-S-8383,Business Bay,Bay Avenue,,Flag for daily review,no
TRG000855,2026-05-24T21:33:56,harsh,Harsh Driving,high,acknowledged,ETMP,Taxi,Tunde Campbell,TC,Cars Taxi,DXB-M-88871,Al Qusais,Beirut Street,135,Send to Stafteesh for fine assessment,no
TRG002276,2026-05-24T21:33:46,fatigue,Driver Fatigue,low,acknowledged,DS/Teams,School Bus,Lars Foster,LF,School Transport Services,DXB-S-9226,Business Bay,Bay Avenue,,Confirm with supervisor & monitor,yes
TRG002231,2026-05-24T21:33:37,harsh,Harsh Driving,medium,investigation,MNVR,Taxi,Rohan Young,RY,Metro Taxi,DXB-I-23356,Silicon Oasis,Sheikh Mohammed Bin Zayed Rd,78,Issue coaching alert to driver,no
TRG000042,2026-05-24T21:33:02,signal,No Signal,high,investigation,MNVR,Taxi,Charles Weaver,CW,Metro Taxi,DXB-H-49431,Mirdif,Mirdif City Centre Rd,,Auto-resolve when signal restored,no
TRG001584,2026-05-24T21:32:35,idling,Idling,medium,acknowledged,MNVR,School Bus,Andre Bryant,AB,Emirates Transport,DXB-S-8655,Dubai Investment Park,Green Community,,Acknowledge — within tolerance,no
TRG002112,2026-05-24T21:31:53,idling,Idling,medium,open,DS/Teams,Taxi,Emil Jenkins,EJ,Metro Taxi,DXB-A-87045,Dubai Marina,King Salman Bin Abdulaziz Al Saud St,,Acknowledge — within tolerance,no
TRG002398,2026-05-24T21:30:37,harsh,Harsh Driving,high,closed,DS/Teams,Hourly Rental,Edward Sanders,ES,Careem,DXB-P-45383,Dubai Marina,Marina Walk,135,Escalate to safety review board,no
TRG000515,2026-05-24T21:30:34,distraction,Driver Distraction,medium,closed,ETMP,School Bus,Henry Gray,HG,School Transport Services,DXB-S-4512,Downtown Dubai,Mohammed Bin Rashid Blvd,,Schedule supervisor review,no
TRG000724,2026-05-24T21:30:15,fatigue,Driver Fatigue,low,open,DS/Teams,Limousine & E-Hail,Rohan Young,RY,Careem,DXB-S-81352,Al Quoz,Al Meydan Road,,Confirm with supervisor & monitor,no
TRG001305,2026-05-24T21:29:35,fatigue,Driver Fatigue,low,open,MNVR,Limousine & E-Hail,Arthur Carter,AC,Yango Premium,DXB-P-99746,Business Bay,Al Abraj Street,,Confirm with supervisor & monitor,yes
TRG002740,2026-05-24T21:28:23,harsh,Harsh Driving,medium,open,DS/Teams,Limousine & E-Hail,Felix Price,FP,Genie Limousine,DXB-C-25389,Dubai Sports City,Hessa Street,78,Log for end-of-shift review,no
TRG001515,2026-05-24T21:28:03,harsh,Harsh Driving,medium,closed,MNVR,Public Bus,Niko Baker,NB,Emirates Transport,DXB-B-8072,JBR,The Walk,77,Escalate to safety review board,no
TRG001041,2026-05-24T21:27:38,camera,Camera Disconnection,low,closed,ETMP,School Bus,Matteo Carroll,MC,School Transport Services,DXB-S-3961,Downtown Dubai,Sheikh Mohammed Bin Rashid Blvd,,Verify cable connection at next stop,no
TRG000172,2026-05-24T21:26:44,camera,Camera Disconnection,medium,closed,ETMP,Public Bus,Johan Adams,JA,Emirates Transport,DXB-B-3580,Downtown Dubai,Burj Khalifa Blvd,,Escalate to fleet maintenance,no
TRG000328,2026-05-24T21:25:28,harsh,Harsh Driving,high,open,MNVR,Taxi,Sipho Cooper,SC,Citi Taxi,DXB-R-21742,Mirdif,Mirdif City Centre Rd,129,Escalate to safety review board,no
TRG001896,2026-05-24T21:24:47,distraction,Driver Distraction,medium,closed,DS/Teams,Public Bus,Thomas Sullivan,TS,RTA Public Buses,DXB-B-7398,Jebel Ali,Jebel Ali Free Zone,,Schedule supervisor review,no
TRG000097,2026-05-24T21:24:01,camera,Camera Disconnection,low,stafteesh,DS/Teams,Limousine & E-Hail,Jack Greene,JG,Yango Premium,DXB-H-61375,Downtown Dubai,Financial Center Rd,,Run firmware reset remotely,no
TRG002280,2026-05-24T21:23:02,idling,Idling,low,open,MNVR,Taxi,Pablo Roberts,PR,Arabia Taxi,DXB-K-93450,Downtown Dubai,Financial Center Rd,,Flag for daily review,no
TRG002045,2026-05-24T21:22:08,fatigue,Driver Fatigue,low,open,ETMP,Taxi,James Peters,JP,Arabia Taxi,DXB-Q-30982,Downtown Dubai,Burj Khalifa Blvd,,Instruct driver to take mandatory break,no
TRG000216,2026-05-24T21:21:25,fatigue,Driver Fatigue,high,escalated,MNVR,Taxi,Dmitri Scott,DS,Citi Taxi,DXB-K-60789,Business Bay,Marasi Drive,,Confirm with supervisor & monitor,no
TRG001523,2026-05-24T21:20:53,fatigue,Driver Fatigue,high,acknowledged,MNVR,Limousine & E-Hail,Edward Hamilton,EH,Hala Rides,DXB-F-72966,Jebel Ali,Ibn Battuta Road,,Confirm with supervisor & monitor,yes
TRG001458,2026-05-24T21:20:06,idling,Idling,medium,fined,DS/Teams,Taxi,Dmitri Lane,DL,Citi Taxi,DXB-Q-89783,Business Bay,Al Abraj Street,,Flag for daily review,no
TRG002041,2026-05-24T21:19:30,idling,Idling,medium,acknowledged,MNVR,School Bus,Sven Weaver,SW,School Transport Services,DXB-S-8205,Dubai Sports City,Hessa Street,,Auto-close — under 5min,no
TRG002566,2026-05-24T21:19:23,fatigue,Driver Fatigue,medium,investigation,MNVR,Taxi,Arthur Fisher,AF,Citi Taxi,DXB-C-24463,Deira,Gold Souq Street,,Instruct driver to take mandatory break,no
TRG000235,2026-05-24T21:18:35,idling,Idling,medium,closed,MNVR,Taxi,Kwame Boyd,KB,Citi Taxi,DXB-F-74560,JBR,Jumeirah Beach Residence,,Auto-close — under 5min,no
TRG000351,2026-05-24T21:18:15,camera,Camera Disconnection,high,open,DS/Teams,Public Bus,Oliver Bell,OB,RTA Public Buses,DXB-B-6002,Deira,Gold Souq Street,,Run firmware reset remotely,no
TRG002701,2026-05-24T21:17:59,fatigue,Driver Fatigue,medium,open,MNVR,Public Bus,Harry Cole,HC,RTA Public Buses,DXB-B-4783,Al Barsha,Sheikh Zayed Road,,Confirm with supervisor & monitor,no
TRG000297,2026-05-24T21:17:51,camera,Camera Disconnection,high,fined,MNVR,Taxi,Jack Wright,JW,Dubai Taxi Corporation,DXB-C-21598,Deira,Baniyas Square,,Verify cable connection at next stop,no
TRG002636,2026-05-24T21:17:36,fatigue,Driver Fatigue,medium,open,DS/Teams,Limousine & E-Hail,Arthur Richardson,AR,Yango Premium,DXB-J-10497,Deira,Baniyas Square,,Route to nearest rest stop,no
TRG002360,2026-05-24T21:17:01,harsh,Harsh Driving,high,acknowledged,ETMP,Public Bus,Oliver Wallace,OW,RTA Public Buses,DXB-B-5428,Business Bay,Business Bay Crossing,97,Escalate to safety review board,no
TRG001310,2026-05-24T21:14:37,camera,Camera Disconnection,medium,closed,ETMP,School Bus,James Peters,JP,School Transport Services,DXB-S-8548,JBR,The Walk,,Escalate to fleet maintenance,no
TRG000627,2026-05-24T21:14:09,distraction,Driver Distraction,medium,investigation,MNVR,Public Bus,Tomas Diaz,TD,Emirates Transport,DXB-B-6497,Al Barsha,Sheikh Zayed Road,,Send live coaching prompt to driver,no
TRG000645,2026-05-24T21:12:52,harsh,Harsh Driving,low,investigation,DS/Teams,Taxi,Luca Adams,LA,Cars Taxi,DXB-Q-94342,Downtown Dubai,Mohammed Bin Rashid Blvd,46,Escalate to safety review board,no
TRG000501,2026-05-24T21:12:51,fatigue,Driver Fatigue,low,stafteesh,MNVR,Taxi,Jack Wright,JW,Metro Taxi,DXB-D-85309,Jumeirah,Umm Suqeim Road,,Instruct driver to take mandatory break,no
TRG000217,2026-05-24T21:12:45,harsh,Harsh Driving,high,open,DS/Teams,Public Bus,Peter Holmes,PH,Emirates Transport,DXB-B-1897,Downtown Dubai,Burj Khalifa Blvd,115,Send to Stafteesh for fine assessment,no
TRG001364,2026-05-24T21:11:33,distraction,Driver Distraction,medium,closed,MNVR,Public Bus,Simon Smith,SS,RTA Public Buses,DXB-B-3178,Jumeirah,Umm Suqeim Road,,"Acknowledge — minor, log only",no
TRG002724,2026-05-24T21:11:25,camera,Camera Disconnection,medium,closed,MNVR,Limousine & E-Hail,Luca Wright,LW,Yango Premium,DXB-H-11145,Dubai Investment Park,Schoolzone Rd,,Run firmware reset remotely,no
TRG001767,2026-05-24T21:11:24,idling,Idling,low,investigation,DS/Teams,Limousine & E-Hail,Anton Riley,AR,Hala Rides,DXB-E-16060,JBR,The Beach Promenade,,Send efficiency reminder to driver,no
TRG002753,2026-05-24T21:10:04,distraction,Driver Distraction,high,open,MNVR,Limousine & E-Hail,Hans Parker,HP,Uber Fleet,DXB-C-34676,Dubai Sports City,Sports City Boulevard,,Issue formal warning — 2nd offense,no
TRG002684,2026-05-24T21:09:35,harsh,Harsh Driving,high,open,ETMP,Limousine & E-Hail,Niko Simpson,NS,Careem,DXB-H-26610,Mirdif,Tripoli Street,94,Send to Stafteesh for fine assessment,no
TRG000403,2026-05-24T21:09:09,distraction,Driver Distraction,low,closed,MNVR,Public Bus,Sipho Campbell,SC,RTA Public Buses,DXB-B-4742,JBR,Jumeirah Beach Residence,,"Acknowledge — minor, log only",no
TRG000545,2026-05-24T21:09:09,harsh,Harsh Driving,medium,open,DS/Teams,Marine,Ming Warren,MW,Dubai Marine Transport,MAR-826,Dubai Marina,Al Marsa Street,78,Log for end-of-shift review,yes
TRG000592,2026-05-24T21:08:18,idling,Idling,low,fined,MNVR,Public Bus,Sven Brooks,SB,Emirates Transport,DXB-B-7853,Dubai Sports City,Sports City Boulevard,,Auto-close — under 5min,no
TRG001322,2026-05-24T21:07:51,idling,Idling,medium,open,ETMP,Hourly Rental,Julian Duncan,JD,Al Naboodah Transport,DXB-O-15038,Al Barsha,Sheikh Zayed Road,,Acknowledge — within tolerance,no
TRG000798,2026-05-24T21:07:42,harsh,Harsh Driving,medium,closed,MNVR,Limousine & E-Hail,Erik Price,EP,Careem,DXB-P-19055,Al Rashidiya,Airport Road,77,Escalate to safety review board,no
TRG002147,2026-05-24T21:07:22,camera,Camera Disconnection,medium,closed,DS/Teams,Public Bus,George Smith,GS,RTA Public Buses,DXB-B-9069,Dubai Investment Park,Green Community,,Escalate to fleet maintenance,no
TRG002756,2026-05-24T21:06:58,fatigue,Driver Fatigue,medium,closed,MNVR,Hourly Rental,Lars Foster,LF,Al Naboodah Transport,DXB-C-75899,Dubai Marina,Marina Walk,,Confirm with supervisor & monitor,no
TRG000376,2026-05-24T21:05:42,harsh,Harsh Driving,medium,open,MNVR,Taxi,Tomas Smith,TS,National Taxi,DXB-L-18662,Al Quoz,Al Meydan Road,89,Issue coaching alert to driver,yes
TRG001339,2026-05-24T21:05:20,camera,Camera Disconnection,low,investigation,MNVR,School Bus,George Fox,GF,Emirates Transport,DXB-S-9123,Al Barsha,Mall of the Emirates,,Escalate to fleet maintenance,no
TRG001446,2026-05-24T21:05:03,fatigue,Driver Fatigue,low,acknowledged,ETMP,School Bus,Andre Bryant,AB,Emirates Transport,DXB-S-4278,Dubai Investment Park,Schoolzone Rd,,Override dispatch — pull from rotation,no
TRG001207,2026-05-24T21:03:25,harsh,Harsh Driving,high,open,ETMP,Limousine & E-Hail,Erik Ross,ER,Genie Limousine,DXB-M-78539,Business Bay,Marasi Drive,87,Log for end-of-shift review,no
TRG000969,2026-05-24T21:03:17,fatigue,Driver Fatigue,medium,closed,MNVR,Taxi,Peter Franklin,PF,Citi Taxi,DXB-I-33724,Downtown Dubai,Financial Center Rd,,Route to nearest rest stop,no
TRG001811,2026-05-24T21:02:51,idling,Idling,medium,stafteesh,DS/Teams,Hourly Rental,Henri Shaw,HS,Hala Rides,DXB-G-78728,JBR,The Walk,,Flag for daily review,no
TRG000482,2026-05-24T21:01:47,harsh,Harsh Driving,high,open,ETMP,School Bus,Felix Phillips,FP,School Transport Services,DXB-S-6972,Jebel Ali,Sheikh Zayed Road,100,Issue coaching alert to driver,no
TRG001436,2026-05-24T21:01:43,fatigue,Driver Fatigue,high,closed,DS/Teams,Marine,Kenji Campbell,KC,Dubai Marine Transport,MAR-278,Downtown Dubai,Financial Center Rd,,Instruct driver to take mandatory break,no
TRG000166,2026-05-24T21:01:40,idling,Idling,medium,fined,DS/Teams,Public Bus,Matteo Carroll,MC,RTA Public Buses,DXB-B-6758,Al Qusais,Damascus Street,,Send efficiency reminder to driver,no
TRG002285,2026-05-24T21:00:58,idling,Idling,high,stafteesh,DS/Teams,Public Bus,Henri Adams,HA,RTA Public Buses,DXB-B-8976,Deira,Al Rigga Road,,Send efficiency reminder to driver,no
TRG000615,2026-05-24T21:00:48,harsh,Harsh Driving,high,stafteesh,MNVR,Hourly Rental,Matteo Armstrong,MA,Careem,DXB-O-71668,Dubai Marina,Marina Walk,99,Escalate to safety review board,no
TRG001382,2026-05-24T20:59:21,camera,Camera Disconnection,high,open,MNVR,Taxi,Diego Butler,DB,Metro Taxi,DXB-Q-34174,Al Barsha,Al Barsha Road,,Run firmware reset remotely,no
TRG000480,2026-05-24T20:57:41,signal,No Signal,low,closed,ETMP,Public Bus,Sergei Collins,SC,Emirates Transport,DXB-B-8770,Deira,Baniyas Square,,Dispatch tech if persistent >15min,no
TRG000628,2026-05-24T20:57:26,fatigue,Driver Fatigue,medium,closed,ETMP,School Bus,Michael Armstrong,MA,Emirates Transport,DXB-S-7515,Downtown Dubai,Mohammed Bin Rashid Blvd,,Override dispatch — pull from rotation,no
TRG002067,2026-05-24T20:57:02,fatigue,Driver Fatigue,low,closed,DS/Teams,Taxi,Dmitri Palmer,DP,Dubai Taxi Corporation,DXB-R-66616,Business Bay,Bay Avenue,,Confirm with supervisor & monitor,no
TRG000404,2026-05-24T20:56:37,harsh,Harsh Driving,medium,investigation,MNVR,Taxi,Erik Sullivan,ES,Dubai Taxi Corporation,DXB-S-12756,Dubai Sports City,Sports City Boulevard,80,Send to Stafteesh for fine assessment,no
TRG001384,2026-05-24T20:56:30,harsh,Harsh Driving,medium,open,ETMP,Taxi,Luca Campbell,LC,Citi Taxi,DXB-C-18516,Business Bay,Business Bay Crossing,76,Send to Stafteesh for fine assessment,no
TRG001962,2026-05-24T20:55:07,distraction,Driver Distraction,medium,open,DS/Teams,Taxi,Kofi Campbell,KC,Citi Taxi,DXB-P-53889,Al Quoz,Al Khail Road,,Send live coaching prompt to driver,no
TRG002672,2026-05-24T20:54:04,idling,Idling,medium,fined,ETMP,Taxi,Matteo Russell,MR,Metro Taxi,DXB-R-83936,Downtown Dubai,Sheikh Mohammed Bin Rashid Blvd,,Auto-close — under 5min,no
TRG001719,2026-05-24T20:53:22,fatigue,Driver Fatigue,high,closed,DS/Teams,Taxi,Henri Edwards,HE,Cars Taxi,DXB-C-94912,Al Barsha,Mall of the Emirates,,Route to nearest rest stop,no
TRG000034,2026-05-24T20:52:45,harsh,Harsh Driving,medium,stafteesh,DS/Teams,Limousine & E-Hail,Matteo Russell,MR,Yango Premium,DXB-R-22051,Al Barsha,Sheikh Zayed Road,81,Issue coaching alert to driver,no
TRG001545,2026-05-24T20:52:41,harsh,Harsh Driving,high,stafteesh,DS/Teams,Public Bus,Kofi Campbell,KC,Emirates Transport,DXB-B-8759,Downtown Dubai,Mohammed Bin Rashid Blvd,131,Issue coaching alert to driver,yes
TRG001508,2026-05-24T20:51:26,fatigue,Driver Fatigue,high,open,DS/Teams,Taxi,Niko Long,NL,Dubai Taxi Corporation,DXB-H-41447,Al Qusais,Beirut Street,,Confirm with supervisor & monitor,no
TRG002341,2026-05-24T20:50:41,harsh,Harsh Driving,high,closed,DS/Teams,Hourly Rental,Peter Young,PY,Al Naboodah Transport,DXB-G-23932,Al Rashidiya,Rashidiya Metro Rd,110,Issue coaching alert to driver,no
TRG000653,2026-05-24T20:50:34,distraction,Driver Distraction,high,investigation,ETMP,Taxi,Arjun Gonzales,AG,Arabia Taxi,DXB-M-46432,Jumeirah,Jumeirah Beach Road,,Issue formal warning — 2nd offense,no
TRG000791,2026-05-24T20:50:12,distraction,Driver Distraction,medium,closed,MNVR,Taxi,Henri Chavez,HC,Arabia Taxi,DXB-I-55464,Jumeirah,Umm Suqeim Road,,Issue formal warning — 2nd offense,no
