violation_id,timestamp,latitude,longitude,zone,severity,violation_type,driver_id,driver_name,driver_initials,driver_category,driver_company,driver_risk_score,driver_risk_label,driver_status,driver_status_label
V-010530,2026-05-24T08:26,24.99651,55.11432,Jebel Ali,high,Speeding,D-02219,Rashid Al Sharqi,RS,School Bus,GEMS Transport,7.3,High Risk,investigation,Under Investigation
V-015106,2026-05-24T08:17,25.20538,55.28131,Downtown Dubai,low,Speeding,D-03183,Hassan Al Mehairi,HM,Hourly Rental,Avis Dubai,2.1,Low Risk,active,Active
V-008414,2026-05-24T07:59,25.09351,55.13129,Dubai Marina,moderate,Distraction,D-01787,Saif Al Nuaimi,SN,School Bus,GEMS Transport,1.4,Low Risk,active,Active
V-001227,2026-05-24T07:50,25.13265,55.19498,Al Barsha,low,Speeding,D-00274,Zayed Al Dhaheri,ZD,Taxi,Dubai Taxi Corp,5.2,Moderate,active,Active
V-011688,2026-05-24T07:47,25.18845,55.25991,Business Bay,moderate,Speeding,D-02488,Omar Al Kaabi,OK,Limousine & E-Hail,Uber Dubai,9.5,Critical,suspended,Suspended
V-012565,2026-05-24T07:36,25.11919,55.39092,Silicon Oasis,high,Speeding,D-02661,Maher Al Sayegh,MS,Limousine & E-Hail,Careem Fleet,9.8,Critical,active,Active
V-011406,2026-05-24T07:33,25.22704,55.43016,Mirdif,low,Route Deviation,D-02430,Rashid Al Zaabi,RZ,Limousine & E-Hail,Al Ghazal Transport,6.3,Moderate,active,Active
V-001308,2026-05-24T07:26,25.20199,55.26703,Downtown Dubai,high,Speeding,D-00289,Nayef Al Shamsi,NS,Taxi,Emirates Taxi LLC,5.7,Moderate,active,Active
V-014665,2026-05-24T07:15,25.08276,55.1261,JBR,low,Speeding,D-03092,Sultan Al Mazrouei,SM,Marine,Emirates Marine Transport,1.0,Low Risk,active,Active
V-000515,2026-05-24T07:08,25.194,55.23104,Jumeirah,low,Idling,D-00125,Saif Al Shamsi,SS,Taxi,Dubai Taxi Corp,1.9,Low Risk,active,Active
V-008160,2026-05-24T07:05,25.28886,55.39075,Al Qusais,high,Speeding,D-01726,Saif Al Mulla,SM,Public Bus,Dubai Transport Co.,8.4,Critical,active,Active
V-008831,2026-05-24T06:32,25.27803,55.33347,Deira,high,Driver Fatigue,D-01888,Tariq Al Hosani,TH,School Bus,GEMS Transport,4.7,Moderate,active,Active
V-004821,2026-05-24T06:06,25.18018,55.2349,Jumeirah,moderate,Camera Tampering,D-01025,Ali Al Shamsi,AS,Taxi,Metro Taxi,1.3,Low Risk,active,Active
V-005805,2026-05-24T05:28,25.19193,55.26771,Business Bay,low,Route Deviation,D-01230,Maher Bin Hamad,MH,Public Bus,RTA Public Transport,6.0,Moderate,active,Active
V-012750,2026-05-24T05:23,25.19157,55.2774,Downtown Dubai,high,Harsh Braking,D-02699,Mansour Al Mehrezi,MM,Limousine & E-Hail,Uber Dubai,9.4,Critical,suspended,Suspended
V-016479,2026-05-24T05:09,25.27052,55.3164,Deira,moderate,Speeding,D-03487,Hamdan Al Ali,HA,Hourly Rental,Avis Dubai,5.3,Moderate,active,Active
V-012218,2026-05-24T05:00,25.18345,55.26932,Business Bay,high,Distraction,D-02583,Faisal Al Mehairi,FM,Limousine & E-Hail,Uber Dubai,6.8,High Risk,active,Active
V-004561,2026-05-24T04:45,25.04044,55.22599,Dubai Sports City,high,Camera Tampering,D-00965,Faisal Al Hashemi,FH,Taxi,National Taxi,4.3,Moderate,investigation,Under Investigation
V-001525,2026-05-24T04:36,25.29731,55.41446,Al Qusais,low,Route Deviation,D-00327,Rashid Al Hashimi,RH,Taxi,Al Naboodah Taxi,6.1,Moderate,active,Active
V-003267,2026-05-24T04:31,25.25853,55.34147,Deira,high,Camera Tampering,D-00675,Yusuf Al Marri,YM,Taxi,Emirates Taxi LLC,7.8,High Risk,active,Active
V-003100,2026-05-24T04:16,25.05854,55.22834,Dubai Sports City,low,Phone Use,D-00651,Jassim Al Otaiba,JO,Taxi,Metro Taxi,5.6,Moderate,active,Active
V-000145,2026-05-24T04:11,25.24897,55.44475,Mirdif,high,Phone Use,D-00037,Ibrahim Al Mehairi,IM,Taxi,Dubai Taxi Corp,9.9,Critical,suspended,Suspended
V-003507,2026-05-24T04:01,25.27752,55.33832,Deira,low,Phone Use,D-00736,Mubarak Al Hashimi,MH,Taxi,Dubai Taxi Corp,4.8,Moderate,active,Active
V-003397,2026-05-24T03:59,25.19464,55.2674,Business Bay,low,Route Deviation,D-00711,Khalid Al Tamimi,KT,Taxi,Emirates Taxi LLC,1.0,Low Risk,active,Active
V-004497,2026-05-24T03:56,25.11902,55.39437,Silicon Oasis,low,Phone Use,D-00948,Walid Al Mehrezi,WM,Taxi,Dubai Taxi Corp,1.6,Low Risk,active,Active
V-010091,2026-05-24T03:50,25.27784,55.32883,Deira,moderate,Phone Use,D-02139,Bader Al Otaiba,BO,School Bus,Al Mawakeb Transport,8.5,Critical,investigation,Under Investigation
V-011345,2026-05-24T03:43,25.19566,55.29158,Downtown Dubai,high,Phone Use,D-02412,Faisal Al Suwaidi,FS,Limousine & E-Hail,Emirates Limousine,8.2,Critical,investigation,Under Investigation
V-016036,2026-05-24T03:35,25.28843,55.30817,Deira,low,Route Deviation,D-03393,Karim Al Hashimi,KH,Hourly Rental,Budget Rent-a-Car,6.6,High Risk,active,Active
V-000970,2026-05-24T03:27,25.00247,55.08226,Jebel Ali,low,Phone Use,D-00212,Ammar Al Kaabi,AK,Taxi,Al Naboodah Taxi,1.1,Low Risk,active,Active
V-003359,2026-05-24T03:27,25.23675,55.41696,Mirdif,moderate,Phone Use,D-00698,Tamer Al Marri,TM,Taxi,Al Naboodah Taxi,5.1,Moderate,active,Active
V-007116,2026-05-24T03:27,25.28212,55.32669,Deira,low,Speeding,D-01500,Hamad Bin Hamad,HH,Public Bus,RTA Public Transport,1.8,Low Risk,active,Active
V-011053,2026-05-24T03:23,25.01858,55.06625,Jebel Ali,moderate,Speeding,D-02348,Nayef Al Nuaimi,NN,Limousine & E-Hail,Emirates Limousine,5.1,Moderate,active,Active
V-002245,2026-05-24T03:20,25.14959,55.24972,Al Quoz,low,Driver Fatigue,D-00475,Obaid Al Hashemi,OH,Taxi,Cars Taxi,6.7,High Risk,investigation,Under Investigation
V-001494,2026-05-24T02:42,25.08782,55.12576,JBR,moderate,Harsh Braking,D-00320,Nayef Al Mehrezi,NM,Taxi,Cars Taxi,7.7,High Risk,investigation,Under Investigation
V-015256,2026-05-24T02:40,25.28485,55.32811,Deira,high,Distraction,D-03219,Mubarak Al Mehairi,MM,Hourly Rental,Avis Dubai,7.9,High Risk,investigation,Under Investigation
V-013546,2026-05-24T02:34,25.24412,55.42609,Mirdif,low,Phone Use,D-02848,Riyad Al Rashidi,RR,Limousine & E-Hail,Careem Fleet,2.8,Low Risk,active,Active
V-004730,2026-05-24T02:28,25.25553,55.37246,Al Rashidiya,moderate,Phone Use,D-01000,Obaid Al Marri,OM,Taxi,Metro Taxi,7.5,High Risk,active,Active
V-003201,2026-05-24T02:17,25.14327,55.23375,Al Quoz,high,Speeding,D-00666,Obaid Al Mehrezi,OM,Taxi,Cars Taxi,9.0,Critical,suspended,Suspended
V-010524,2026-05-24T02:13,25.29213,55.41973,Al Qusais,low,Distraction,D-02217,Bandar Al Hashemi,BH,School Bus,Al Mawakeb Transport,6.3,Moderate,active,Active
V-002065,2026-05-24T02:09,25.302,55.41742,Al Qusais,high,Speeding,D-00451,Ammar Al Jaberi,AJ,Taxi,Cars Taxi,6.9,High Risk,active,Active
V-002651,2026-05-24T01:58,25.11034,55.20487,Al Barsha,moderate,Speeding,D-00559,Ziad Al Zaabi,ZZ,Taxi,Emirates Taxi LLC,9.3,Critical,suspended,Suspended
V-002890,2026-05-24T01:56,25.25732,55.38368,Al Rashidiya,moderate,Phone Use,D-00613,Saif Al Falasi,SF,Taxi,Emirates Taxi LLC,8.0,Critical,active,Active
V-008019,2026-05-24T01:46,25.17191,55.22727,Al Quoz,low,Route Deviation,D-01697,Karim Al Ameri,KA,Public Bus,RTA Public Transport,6.6,High Risk,investigation,Under Investigation
V-013111,2026-05-24T01:26,25.19667,55.26032,Downtown Dubai,moderate,Distraction,D-02756,Karim Al Shehhi,KS,Limousine & E-Hail,Al Ghazal Transport,1.0,Low Risk,active,Active
V-004483,2026-05-24T01:16,25.27344,55.34405,Deira,low,Harsh Braking,D-00945,Ali Al Hashimi,AH,Taxi,Emirates Taxi LLC,5.3,Moderate,active,Active
V-001516,2026-05-24T01:14,25.14009,55.2292,Al Quoz,moderate,Distraction,D-00325,Marwan Al Sharqi,MS,Taxi,Metro Taxi,6.8,High Risk,suspended,Suspended
V-000907,2026-05-24T00:50,25.1281,55.20207,Al Barsha,moderate,Driver Fatigue,D-00196,Marwan Al Suwaidi,MS,Taxi,Al Naboodah Taxi,3.0,Low Risk,active,Active
V-005717,2026-05-24T00:45,25.19706,55.26779,Business Bay,high,Harsh Braking,D-01210,Abdullah Al Romaithi,AR,Public Bus,RTA Public Transport,7.3,High Risk,investigation,Under Investigation
V-006591,2026-05-24T00:42,25.28806,55.33686,Deira,low,Harsh Braking,D-01394,Tariq Al Romaithi,TR,Public Bus,Dubai Transport Co.,1.4,Low Risk,active,Active
V-004572,2026-05-24T00:38,25.10526,55.20566,Al Barsha,moderate,Speeding,D-00968,Marwan Al Mansoori,MM,Taxi,Dubai Taxi Corp,6.0,Moderate,active,Active
V-011201,2026-05-24T00:33,25.28852,55.39574,Al Qusais,high,Driver Fatigue,D-02384,Sultan Al Kaabi,SK,Limousine & E-Hail,Uber Dubai,4.7,Moderate,active,Active
V-013383,2026-05-24T00:31,25.20803,55.2711,Downtown Dubai,moderate,Speeding,D-02823,Saeed Al Khouri,SK,Limousine & E-Hail,Al Ghazal Transport,7.8,High Risk,active,Active
V-000285,2026-05-24T00:28,25.10834,55.20229,Al Barsha,low,Idling,D-00071,Hamad Al Jaberi,HJ,Taxi,National Taxi,7.5,High Risk,active,Active
V-011234,2026-05-24T00:25,25.13534,55.40365,Silicon Oasis,high,Speeding,D-02391,Jassim Al Ameri,JA,Limousine & E-Hail,Uber Dubai,7.4,High Risk,active,Active
V-000814,2026-05-24T00:23,25.12906,55.20091,Al Barsha,low,Idling,D-00180,Salem Al Shamsi,SS,Taxi,Metro Taxi,6.0,Moderate,active,Active
V-012622,2026-05-24T00:06,25.24997,55.40057,Al Rashidiya,low,Harsh Braking,D-02673,Ahmed Al Shehhi,AS,Limousine & E-Hail,Emirates Limousine,7.0,High Risk,investigation,Under Investigation
V-016369,2026-05-24T00:06,25.1971,55.20908,Jumeirah,moderate,Route Deviation,D-03465,Fahad Al Hashimi,FH,Hourly Rental,Europcar,10.0,Critical,suspended,Suspended
V-010906,2026-05-23T23:59,25.18348,55.2625,Downtown Dubai,low,Route Deviation,D-02301,Walid Al Maktoum,WM,Limousine & E-Hail,Careem Fleet,5.0,Moderate,active,Active
V-003289,2026-05-23T23:53,25.18632,55.27811,Downtown Dubai,low,Idling,D-00680,Amer Al Naqbi,AN,Taxi,National Taxi,7.0,High Risk,investigation,Under Investigation
V-013062,2026-05-23T23:50,25.06756,55.14584,Dubai Marina,moderate,Driver Fatigue,D-02747,Abdullah Al Hashimi,AH,Limousine & E-Hail,Careem Fleet,4.8,Moderate,active,Active
V-013657,2026-05-23T23:49,25.2618,55.32258,Deira,moderate,Distraction,D-02869,Turki Al Shamsi,TS,Limousine & E-Hail,Al Ghazal Transport,5.3,Moderate,active,Active
V-007261,2026-05-23T23:38,24.99842,55.08475,Jebel Ali,low,Distraction,D-01526,Hani Al Suwaidi,HS,Public Bus,Dubai Transport Co.,8.5,Critical,suspended,Suspended
V-009016,2026-05-23T23:34,25.30581,55.4049,Al Qusais,moderate,Harsh Braking,D-01937,Tariq Al Sayegh,TS,School Bus,Al Mawakeb Transport,7.4,High Risk,active,Active
V-000439,2026-05-23T23:31,25.20734,55.28637,Downtown Dubai,moderate,Phone Use,D-00108,Salem Al Maktoum,SM,Taxi,National Taxi,4.5,Moderate,active,Active
V-005868,2026-05-23T23:29,25.21025,55.22292,Jumeirah,low,Harsh Braking,D-01246,Mohammed Al Jaberi,MJ,Public Bus,Dubai Transport Co.,2.8,Low Risk,active,Active
V-014099,2026-05-23T23:27,25.14873,55.22275,Al Quoz,moderate,Speeding,D-02973,Marwan Bin Hamad,MH,Marine,Emirates Marine Transport,4.3,Moderate,active,Active
V-004272,2026-05-23T23:22,25.13076,55.2131,Al Barsha,low,Distraction,D-00897,Nayef Al Shehhi,NS,Taxi,Emirates Taxi LLC,5.6,Moderate,active,Active
V-002083,2026-05-23T23:13,25.1977,55.21544,Jumeirah,low,Idling,D-00454,Hamdan Bin Hamad,HH,Taxi,Metro Taxi,7.1,High Risk,investigation,Under Investigation
V-003924,2026-05-23T23:13,25.28256,55.31649,Deira,moderate,Distraction,D-00824,Turki Al Sayegh,TS,Taxi,Metro Taxi,8.6,Critical,suspended,Suspended
V-001740,2026-05-23T23:12,25.24377,55.40844,Mirdif,moderate,Phone Use,D-00376,Rashid Al Sharqi,RS,Taxi,Dubai Taxi Corp,7.4,High Risk,investigation,Under Investigation
V-009751,2026-05-23T23:09,25.19251,55.28656,Downtown Dubai,low,Speeding,D-02070,Saeed Al Romaithi,SR,School Bus,GEMS Transport,5.1,Moderate,active,Active
V-008210,2026-05-23T23:08,25.14127,55.24973,Al Quoz,high,Distraction,D-01733,Ali Al Naqbi,AN,Public Bus,Dubai Transport Co.,6.5,High Risk,suspended,Suspended
V-012818,2026-05-23T22:57,25.25001,55.37663,Al Rashidiya,high,Speeding,D-02706,Turki Al Zaabi,TZ,Limousine & E-Hail,Al Ghazal Transport,7.0,High Risk,active,Active
V-008284,2026-05-23T22:48,25.27813,55.42166,Al Qusais,moderate,Speeding,D-01747,Hisham Al Otaiba,HO,Public Bus,RTA Public Transport,4.7,Moderate,active,Active
V-011415,2026-05-23T22:42,24.97089,55.10204,Jebel Ali,high,Phone Use,D-02432,Hamdan Al Ali,HA,Limousine & E-Hail,Emirates Limousine,4.0,Moderate,active,Active
V-003707,2026-05-23T22:41,25.20747,55.29219,Downtown Dubai,moderate,Speeding,D-00770,Saeed Al Falasi,SF,Taxi,Al Naboodah Taxi,5.2,Moderate,active,Active
V-012664,2026-05-23T22:32,25.30972,55.39684,Al Qusais,low,Speeding,D-02681,Abdullah Al Romaithi,AR,Limousine & E-Hail,Al Ghazal Transport,3.2,Low Risk,active,Active
V-002561,2026-05-23T22:29,25.01333,55.18916,Dubai Investment Park,low,Distraction,D-00537,Talal Al Ali,TA,Taxi,Dubai Taxi Corp,2.7,Low Risk,active,Active
V-003344,2026-05-23T22:23,25.23473,55.429,Mirdif,high,Speeding,D-00697,Tamer Al Awadhi,TA,Taxi,Emirates Taxi LLC,7.4,High Risk,active,Active
V-006413,2026-05-23T22:23,25.29998,55.40905,Al Qusais,low,Speeding,D-01350,Marwan Al Bastaki,MB,Public Bus,RTA Public Transport,4.5,Moderate,active,Active
V-012492,2026-05-23T22:22,25.20316,55.26101,Downtown Dubai,moderate,Speeding,D-02642,Talal Al Rashidi,TR,Limousine & E-Hail,Uber Dubai,9.5,Critical,active,Active
V-010996,2026-05-23T22:11,25.12496,55.21682,Al Barsha,high,Phone Use,D-02328,Karim Al Falasi,KF,Limousine & E-Hail,Uber Dubai,7.1,High Risk,active,Active
V-012892,2026-05-23T22:11,25.27753,55.38643,Al Qusais,low,Lane Violation,D-02717,Karim Al Romaithi,KR,Limousine & E-Hail,Uber Dubai,6.9,High Risk,active,Active
V-008723,2026-05-23T21:56,25.08772,55.13252,JBR,moderate,Phone Use,D-01850,Zayed Al Falasi,ZF,School Bus,GEMS Transport,7.6,High Risk,active,Active
V-003150,2026-05-23T21:53,25.18702,55.27014,Business Bay,moderate,Driver Fatigue,D-00660,Fadi Al Mazrouei,FM,Taxi,Metro Taxi,5.4,Moderate,active,Active
V-007509,2026-05-23T21:47,25.23768,55.42685,Mirdif,low,Idling,D-01589,Saeed Al Shehhi,SS,Public Bus,RTA Public Transport,4.8,Moderate,active,Active
V-008219,2026-05-23T21:40,25.20559,55.27515,Downtown Dubai,low,Speeding,D-01734,Nayef Al Hashimi,NH,Public Bus,Dubai Transport Co.,4.6,Moderate,active,Active
